home_team,away_team,home_score,away_score
Liverpool,Crystal Palace,2,0
Fulham,Tottenham,2,2
Brentford,Wolverhampton,3,0
Brighton,Chelsea,0,5
West Ham,Newcastle,1,2
London Ágyúk,Everton,2,0
Aston Oroszlán,Vörös Ördögök,1,0
Manchester Kék,Nottingham,0,0
Wolverhampton,Aston Oroszlán,1,2
West Ham,Fulham,1,0
Newcastle,Liverpool,1,3
Everton,Tottenham,1,2
Crystal Palace,Manchester Kék,2,2
Chelsea,London Ágyúk,2,1
Nottingham,Brentford,0,3
Vörös Ördögök,Brighton,1,1
Brighton,Wolverhampton,1,2
Tottenham,Chelsea,1,0
London Ágyúk,Vörös Ördögök,3,2
Liverpool,West Ham,2,1
Aston Oroszlán,Nottingham,0,0
Fulham,Everton,2,1
Manchester Kék,Newcastle,2,1
Brentford,Crystal Palace,0,0
West Ham,Manchester Kék,2,2
Newcastle,Brentford,2,2
Liverpool,Fulham,2,1
Crystal Palace,Aston Oroszlán,4,0
Vörös Ördögök,Tottenham,2,1
Nottingham,Brighton,0,0
Chelsea,Everton,0,2
Wolverhampton,London Ágyúk,1,2
Everton,Vörös Ördögök,1,1
Brentford,West Ham,2,1
Fulham,Chelsea,2,0
Tottenham,Wolverhampton,1,2
Brighton,Crystal Palace,1,1
Manchester Kék,Liverpool,1,2
London Ágyúk,Nottingham,3,1
Aston Oroszlán,Newcastle,2,1
Manchester Kék,Fulham,5,2
West Ham,Aston Oroszlán,1,0
Wolverhampton,Everton,0,1
Vörös Ördögök,Chelsea,2,1
Newcastle,Brighton,0,3
Liverpool,Brentford,1,1
Crystal Palace,London Ágyúk,1,1
Nottingham,Tottenham,1,2
Fulham,Vörös Ördögök,2,2
Tottenham,Crystal Palace,3,2
Everton,Nottingham,1,0
Brentford,Manchester Kék,1,0
Aston Oroszlán,Liverpool,1,0
London Ágyúk,Newcastle,3,2
Chelsea,Wolverhampton,1,0
Brighton,West Ham,3,3
Liverpool,Brighton,0,1
Newcastle,Tottenham,1,2
Manchester Kék,Aston Oroszlán,1,0
Brentford,Fulham,0,2
Wolverhampton,Vörös Ördögök,0,2
West Ham,London Ágyúk,2,3
Nottingham,Chelsea,0,3
Crystal Palace,Everton,1,1
Vörös Ördögök,Nottingham,1,0
Chelsea,Crystal Palace,2,0
Aston Oroszlán,Brentford,0,3
London Ágyúk,Liverpool,2,2
Tottenham,West Ham,1,0
Fulham,Wolverhampton,4,0
Brighton,Manchester Kék,0,1
Everton,Newcastle,0,0
Newcastle,Chelsea,1,3
West Ham,Everton,1,2
Crystal Palace,Vörös Ördögök,1,0
Aston Oroszlán,Fulham,4,3
Manchester Kék,London Ágyúk,5,1
Brentford,Brighton,0,4
Nottingham,Wolverhampton,1,1
Liverpool,Tottenham,1,1
Wolverhampton,Crystal Palace,0,0
Brighton,Aston Oroszlán,1,2
London Ágyúk,Brentford,3,0
Chelsea,West Ham,2,1
Vörös Ördögök,Newcastle,6,1
Everton,Liverpool,1,0
Fulham,Nottingham,1,0
Tottenham,Manchester Kék,1,3
Newcastle,Wolverhampton,4,1
Brentford,Tottenham,1,2
Liverpool,Chelsea,0,0
Brighton,Fulham,1,0
Crystal Palace,Nottingham,1,3
Manchester Kék,Everton,0,0
Aston Oroszlán,London Ágyúk,1,1
West Ham,Vörös Ördögök,1,4
Chelsea,Manchester Kék,2,1
Tottenham,Aston Oroszlán,1,0
Wolverhampton,West Ham,0,3
Fulham,Crystal Palace,1,2
London Ágyúk,Brighton,2,1
Everton,Brentford,2,0
Nottingham,Newcastle,1,1
Vörös Ördögök,Liverpool,5,1
Brighton,Tottenham,1,0
West Ham,Nottingham,2,0
Aston Oroszlán,Everton,0,0
Manchester Kék,Vörös Ördögök,0,1
Liverpool,Wolverhampton,2,1
Newcastle,Crystal Palace,3,0
London Ágyúk,Fulham,2,0
Brentford,Chelsea,1,1
Brighton,Everton,1,0
Manchester Kék,Wolverhampton,2,1
Brentford,Vörös Ördögök,6,1
Liverpool,Nottingham,1,0
London Ágyúk,Tottenham,2,0
Fulham,Newcastle,2,0
West Ham,Crystal Palace,0,0
Aston Oroszlán,Chelsea,0,0
Crystal Palace,Liverpool,1,2
Tottenham,Fulham,2,2
Wolverhampton,Brentford,0,0
Chelsea,Brighton,0,0
Newcastle,West Ham,1,2
Everton,London Ágyúk,1,1
Vörös Ördögök,Aston Oroszlán,2,1
Nottingham,Manchester Kék,1,0
Aston Oroszlán,Wolverhampton,3,1
Fulham,West Ham,3,1
Liverpool,Newcastle,3,1
Tottenham,Everton,2,2
Manchester Kék,Crystal Palace,3,1
London Ágyúk,Chelsea,3,0
Brentford,Nottingham,4,0
Brighton,Vörös Ördögök,1,1
Wolverhampton,Brighton,5,0
Chelsea,Tottenham,3,0
Vörös Ördögök,London Ágyúk,3,2
West Ham,Liverpool,0,0
Nottingham,Aston Oroszlán,1,3
Everton,Fulham,0,1
Newcastle,Manchester Kék,1,1
Crystal Palace,Brentford,0,2
Manchester Kék,West Ham,4,0
Brentford,Newcastle,1,1
Fulham,Liverpool,0,2
Aston Oroszlán,Crystal Palace,1,1
Tottenham,Vörös Ördögök,0,1
Brighton,Nottingham,2,1
Everton,Chelsea,0,0
London Ágyúk,Wolverhampton,3,1
Vörös Ördögök,Everton,0,0
West Ham,Brentford,3,2
Chelsea,Fulham,1,1
Wolverhampton,Tottenham,1,2
Crystal Palace,Brighton,0,1
Liverpool,Manchester Kék,2,3
Nottingham,London Ágyúk,0,1
Newcastle,Aston Oroszlán,1,1
Fulham,Manchester Kék,1,2
Aston Oroszlán,West Ham,0,1
Everton,Wolverhampton,0,1
Chelsea,Vörös Ördögök,0,2
Brighton,Newcastle,2,2
Brentford,Liverpool,0,1
London Ágyúk,Crystal Palace,2,2
Tottenham,Nottingham,2,0
Vörös Ördögök,Fulham,1,5
Crystal Palace,Tottenham,2,0
Nottingham,Everton,0,0
Manchester Kék,Brentford,2,1
Liverpool,Aston Oroszlán,3,0
Newcastle,London Ágyúk,1,5
Wolverhampton,Chelsea,2,1
West Ham,Brighton,3,2
Brighton,Liverpool,3,0
Tottenham,Newcastle,3,0
Aston Oroszlán,Manchester Kék,0,4
Fulham,Brentford,1,0
Vörös Ördögök,Wolverhampton,3,0
London Ágyúk,West Ham,2,0
Chelsea,Nottingham,5,1
Everton,Crystal Palace,1,1
Nottingham,Vörös Ördögök,0,2
Crystal Palace,Chelsea,0,1
Brentford,Aston Oroszlán,1,0
Liverpool,London Ágyúk,0,1
West Ham,Tottenham,2,0
Wolverhampton,Fulham,1,0
Manchester Kék,Brighton,2,1
Newcastle,Everton,0,0
Chelsea,Newcastle,2,0
Everton,West Ham,3,0
Vörös Ördögök,Crystal Palace,1,0
Fulham,Aston Oroszlán,2,0
London Ágyúk,Manchester Kék,0,2
Brighton,Brentford,0,3
Wolverhampton,Nottingham,2,0
Tottenham,Liverpool,2,3
Crystal Palace,Wolverhampton,1,1
Aston Oroszlán,Brighton,2,3
Brentford,London Ágyúk,0,0
West Ham,Chelsea,2,1
Newcastle,Vörös Ördögök,1,4
Liverpool,Everton,2,1
Nottingham,Fulham,1,3
Manchester Kék,Tottenham,2,3
Wolverhampton,Newcastle,2,1
Tottenham,Brentford,1,1
Chelsea,Liverpool,0,1
Fulham,Brighton,3,0
Nottingham,Crystal Palace,1,2
Everton,Manchester Kék,1,1
London Ágyúk,Aston Oroszlán,3,0
Vörös Ördögök,West Ham,2,0
Manchester Kék,Chelsea,0,1
Aston Oroszlán,Tottenham,0,3
West Ham,Wolverhampton,1,3
Crystal Palace,Fulham,1,2
Brighton,London Ágyúk,1,3
Brentford,Everton,1,1
Newcastle,Nottingham,1,1
Liverpool,Vörös Ördögök,1,2
Tottenham,Brighton,4,0
Nottingham,West Ham,1,2
Everton,Aston Oroszlán,1,0
Vörös Ördögök,Manchester Kék,1,2
Wolverhampton,Liverpool,0,1
Crystal Palace,Newcastle,1,0
Fulham,London Ágyúk,1,1
Chelsea,Brentford,2,0
Crystal Palace,Nottingham,1,2
Wolverhampton,Aston Oroszlán,2,1
Everton,Vörös Ördögök,3,3
Chelsea,Brentford,1,0
West Ham,Newcastle,1,0
Fulham,Manchester Kék,2,2
London Ágyúk,Brighton,0,2
Liverpool,Tottenham,1,1
Brentford,London Ágyúk,1,0
Manchester Kék,West Ham,3,1
Vörös Ördögök,Wolverhampton,3,0
Nottingham,Liverpool,1,5
Brighton,Fulham,2,1
Newcastle,Crystal Palace,0,0
Tottenham,Everton,0,0
Aston Oroszlán,Chelsea,3,1
Wolverhampton,Tottenham,0,0
Brighton,Manchester Kék,0,1
Fulham,Brentford,2,1
Crystal Palace,West Ham,1,1
London Ágyúk,Aston Oroszlán,0,0
Liverpool,Newcastle,1,4
Chelsea,Vörös Ördögök,1,0
Everton,Nottingham,2,1
Nottingham,Wolverhampton,1,1
West Ham,Liverpool,0,3
Newcastle,Everton,3,3
Brentford,Brighton,2,1
Tottenham,Chelsea,3,1
Manchester Kék,Crystal Palace,1,0
Aston Oroszlán,Fulham,2,1
Vörös Ördögök,London Ágyúk,1,1
Brighton,Aston Oroszlán,1,1
Fulham,Vörös Ördögök,1,0
Brentford,Manchester Kék,0,0
London Ágyúk,Tottenham,1,0
Everton,West Ham,1,0
Chelsea,Nottingham,1,0
Liverpool,Crystal Palace,1,1
Wolverhampton,Newcastle,0,2
Crystal Palace,Everton,2,2
Vörös Ördögök,Brighton,4,2
Manchester Kék,Liverpool,4,1
West Ham,Wolverhampton,1,1
Nottingham,London Ágyúk,1,3
Aston Oroszlán,Brentford,1,2
Newcastle,Chelsea,0,3
Tottenham,Fulham,4,0
Aston Oroszlán,Manchester Kék,2,1
Brighton,Tottenham,3,1
Wolverhampton,Crystal Palace,2,2
Everton,Liverpool,1,1
Fulham,Nottingham,5,1
Brentford,Vörös Ördögök,1,2
London Ágyúk,Newcastle,1,1
Chelsea,West Ham,0,2
Manchester Kék,Everton,3,0
West Ham,London Ágyúk,1,1
Crystal Palace,Chelsea,1,2
Vörös Ördögök,Aston Oroszlán,2,2
Tottenham,Brentford,1,0
Newcastle,Fulham,3,1
Liverpool,Wolverhampton,3,0
Nottingham,Brighton,3,1
Brentford,Nottingham,0,0
Fulham,West Ham,2,0
Aston Oroszlán,Tottenham,2,2
Vörös Ördögök,Manchester Kék,0,3
Wolverhampton,Everton,2,2
Brighton,Newcastle,1,2
Chelsea,Liverpool,0,4
London Ágyúk,Crystal Palace,2,0
Everton,Chelsea,0,1
Liverpool,London Ágyúk,2,0
Tottenham,Vörös Ördögök,0,1
Newcastle,Brentford,3,1
West Ham,Brighton,2,1
Manchester Kék,Wolverhampton,3,1
Nottingham,Aston Oroszlán,0,0
Crystal Palace,Fulham,1,1
Fulham,Liverpool,2,0
Brighton,Crystal Palace,0,1
London Ágyúk,Everton,2,0
Tottenham,Manchester Kék,4,1
Aston Oroszlán,Newcastle,1,1
Vörös Ördögök,Nottingham,2,3
Chelsea,Wolverhampton,1,4
Brentford,West Ham,3,0
Wolverhampton,London Ágyúk,2,0
Nottingham,Tottenham,1,4
Newcastle,Vörös Ördögök,3,3
Liverpool,Brighton,0,3
Everton,Fulham,0,0
Crystal Palace,Brentford,0,0
Manchester Kék,Chelsea,1,0
West Ham,Aston Oroszlán,3,1
Fulham,Wolverhampton,1,0
Vörös Ördögök,West Ham,2,2
Brentford,Liverpool,0,1
Nottingham,Manchester Kék,0,4
London Ágyúk,Chelsea,4,0
Aston Oroszlán,Crystal Palace,0,0
Tottenham,Newcastle,0,2
Brighton,Everton,2,1
Liverpool,Aston Oroszlán,3,0
West Ham,Tottenham,0,2
Wolverhampton,Brighton,0,1
Manchester Kék,London Ágyúk,1,2
Newcastle,Nottingham,0,0
Crystal Palace,Vörös Ördögök,0,3
Chelsea,Fulham,0,0
Everton,Brentford,1,1
Nottingham,West Ham,0,1
Brighton,Chelsea,1,1
Tottenham,Crystal Palace,2,0
Aston Oroszlán,Everton,1,4
Brentford,Wolverhampton,0,1
Fulham,London Ágyúk,2,0
Newcastle,Manchester Kék,3,4
Vörös Ördögök,Liverpool,3,2
Nottingham,Crystal Palace,1,1
Aston Oroszlán,Wolverhampton,0,1
Vörös Ördögök,Everton,2,1
Brentford,Chelsea,0,4
Newcastle,West Ham,1,1
Manchester Kék,Fulham,5,1
Brighton,London Ágyúk,3,2
Tottenham,Liverpool,2,1
London Ágyúk,Brentford,1,2
West Ham,Manchester Kék,0,3
Wolverhampton,Vörös Ördögök,0,2
Liverpool,Nottingham,2,1
Fulham,Brighton,0,0
Crystal Palace,Newcastle,2,0
Everton,Tottenham,2,1
Chelsea,Aston Oroszlán,0,0
Tottenham,Wolverhampton,0,1
Manchester Kék,Brighton,2,0
Brentford,Fulham,2,1
West Ham,Crystal Palace,1,0
Aston Oroszlán,London Ágyúk,0,3
Newcastle,Liverpool,0,3
Vörös Ördögök,Chelsea,0,1
Nottingham,Everton,1,0
Wolverhampton,Nottingham,1,0
Liverpool,West Ham,0,3
Everton,Newcastle,3,1
Brighton,Brentford,2,0
Chelsea,Tottenham,0,1
Crystal Palace,Manchester Kék,1,1
Fulham,Aston Oroszlán,3,0
London Ágyúk,Vörös Ördögök,5,0
Aston Oroszlán,Brighton,2,0
Vörös Ördögök,Fulham,1,3
Manchester Kék,Brentford,0,1
Tottenham,London Ágyúk,0,2
West Ham,Everton,0,2
Nottingham,Chelsea,0,1
Crystal Palace,Liverpool,2,2
Newcastle,Wolverhampton,1,1
Everton,Crystal Palace,5,1
Brighton,Vörös Ördögök,1,1
Liverpool,Manchester Kék,1,1
Wolverhampton,West Ham,1,1
London Ágyúk,Nottingham,3,0
Brentford,Aston Oroszlán,1,1
Chelsea,Newcastle,1,1
Fulham,Tottenham,2,4
Manchester Kék,Aston Oroszlán,3,2
Tottenham,Brighton,1,0
Crystal Palace,Wolverhampton,1,1
Liverpool,Everton,0,0
Nottingham,Fulham,0,3
Vörös Ördögök,Brentford,1,1
Newcastle,London Ágyúk,1,2
West Ham,Chelsea,2,1
Everton,Manchester Kék,0,1
London Ágyúk,West Ham,2,0
Chelsea,Crystal Palace,4,3
Aston Oroszlán,Vörös Ördögök,2,3
Brentford,Tottenham,1,1
Fulham,Newcastle,1,4
Wolverhampton,Liverpool,3,1
Brighton,Nottingham,2,1
Nottingham,Brentford,1,0
West Ham,Fulham,3,0
Tottenham,Aston Oroszlán,1,0
Manchester Kék,Vörös Ördögök,2,1
Everton,Wolverhampton,0,0
Newcastle,Brighton,4,0
Liverpool,Chelsea,1,1
Crystal Palace,London Ágyúk,1,4
Chelsea,Everton,1,2
London Ágyúk,Liverpool,4,0
Vörös Ördögök,Tottenham,0,4
Brentford,Newcastle,2,0
Brighton,West Ham,2,1
Wolverhampton,Manchester Kék,3,2
Aston Oroszlán,Nottingham,1,1
Fulham,Crystal Palace,2,2
Liverpool,Fulham,1,0
Crystal Palace,Brighton,2,2
Everton,London Ágyúk,2,2
Manchester Kék,Tottenham,4,2
Newcastle,Aston Oroszlán,3,0
Nottingham,Vörös Ördögök,1,3
Wolverhampton,Chelsea,4,1
West Ham,Brentford,1,1
London Ágyúk,Wolverhampton,3,0
Tottenham,Nottingham,2,1
Vörös Ördögök,Newcastle,4,1
Brighton,Liverpool,2,4
Fulham,Everton,0,0
Brentford,Crystal Palace,1,0
Chelsea,Manchester Kék,2,1
Aston Oroszlán,West Ham,2,0
Wolverhampton,Fulham,2,1
West Ham,Vörös Ördögök,1,2
Liverpool,Brentford,3,0
Manchester Kék,Nottingham,0,1
Chelsea,London Ágyúk,5,1
Crystal Palace,Aston Oroszlán,0,0
Newcastle,Tottenham,1,0
Everton,Brighton,0,2
Aston Oroszlán,Liverpool,0,1
Tottenham,West Ham,1,1
Brighton,Wolverhampton,0,2
London Ágyúk,Manchester Kék,1,4
Nottingham,Newcastle,0,2
Vörös Ördögök,Crystal Palace,2,1
Fulham,Chelsea,2,2
Brentford,Everton,3,0
West Ham,Nottingham,3,1
Chelsea,Brighton,1,0
Crystal Palace,Tottenham,0,1
Everton,Aston Oroszlán,0,0
Wolverhampton,Brentford,1,2
London Ágyúk,Fulham,1,1
Manchester Kék,Newcastle,2,1
Liverpool,Vörös Ördögök,1,1
Vörös Ördögök,Aston Oroszlán,1,0
Tottenham,Fulham,2,2
Wolverhampton,Newcastle,1,1
West Ham,Brighton,2,1
Nottingham,Crystal Palace,2,0
Liverpool,London Ágyúk,1,3
Everton,Brentford,1,0
Chelsea,Manchester Kék,1,1
Brighton,Everton,1,3
London Ágyúk,Nottingham,0,1
Newcastle,Tottenham,2,2
Aston Oroszlán,Chelsea,0,0
Brentford,Liverpool,0,2
Crystal Palace,Vörös Ördögök,0,0
Manchester Kék,Wolverhampton,2,0
Fulham,West Ham,2,3
Tottenham,Manchester Kék,1,2
Brentford,London Ágyúk,1,0
Liverpool,Brighton,4,0
Vörös Ördögök,Nottingham,3,0
Everton,Fulham,1,0
Chelsea,Crystal Palace,4,2
West Ham,Newcastle,0,0
Wolverhampton,Aston Oroszlán,1,1
Aston Oroszlán,Tottenham,0,1
Nottingham,Chelsea,0,1
Crystal Palace,Wolverhampton,1,1
Brighton,Brentford,1,0
Manchester Kék,West Ham,2,0
London Ágyúk,Vörös Ördögök,2,0
Fulham,Liverpool,2,2
Newcastle,Everton,2,2
Brentford,Fulham,0,1
Liverpool,Newcastle,1,0
Brighton,London Ágyúk,3,0
Everton,Manchester Kék,3,0
Wolverhampton,Nottingham,1,1
West Ham,Aston Oroszlán,1,1
Chelsea,Vörös Ördögök,2,0
Tottenham,Crystal Palace,2,0
Vörös Ördögök,Wolverhampton,5,0
Newcastle,Brentford,1,2
London Ágyúk,Chelsea,1,2
Nottingham,Tottenham,0,1
Aston Oroszlán,Everton,2,1
Fulham,Brighton,2,2
Crystal Palace,West Ham,0,2
Manchester Kék,Liverpool,2,1
Fulham,London Ágyúk,3,1
Brentford,Manchester Kék,0,0
Tottenham,Vörös Ördögök,1,2
Wolverhampton,Chelsea,1,2
Liverpool,Aston Oroszlán,2,0
Brighton,Newcastle,0,2
Everton,Crystal Palace,3,2
West Ham,Nottingham,2,2
London Ágyúk,Wolverhampton,2,2
Nottingham,Everton,1,2
Vörös Ördögök,West Ham,3,1
Newcastle,Fulham,1,1
Manchester Kék,Brighton,2,2
Crystal Palace,Liverpool,0,1
Chelsea,Tottenham,3,1
Aston Oroszlán,Brentford,1,2
Brighton,Aston Oroszlán,0,0
Liverpool,Nottingham,3,1
Fulham,Manchester Kék,0,2
Newcastle,London Ágyúk,0,0
Tottenham,Wolverhampton,4,0
Brentford,Crystal Palace,0,1
West Ham,Chelsea,2,3
Everton,Vörös Ördögök,3,1
Wolverhampton,West Ham,1,0
Chelsea,Everton,2,0
Manchester Kék,Newcastle,1,1
Crystal Palace,Brighton,0,0
Nottingham,Brentford,1,0
London Ágyúk,Tottenham,1,0
Aston Oroszlán,Fulham,0,0
Vörös Ördögök,Liverpool,0,1
Liverpool,Chelsea,3,0
Brentford,Vörös Ördögök,5,1
Everton,Wolverhampton,2,2
Manchester Kék,London Ágyúk,4,0
Fulham,Crystal Palace,0,0
Newcastle,Aston Oroszlán,0,1
West Ham,Tottenham,0,2
Brighton,Nottingham,0,2
Tottenham,Everton,2,2
Aston Oroszlán,Manchester Kék,1,1
Crystal Palace,Newcastle,2,0
Chelsea,Brentford,3,0
Wolverhampton,Liverpool,1,1
Vörös Ördögök,Brighton,1,0
London Ágyúk,West Ham,2,0
Nottingham,Fulham,2,1
Liverpool,Tottenham,2,1
Newcastle,Nottingham,2,1
Brighton,Chelsea,1,0
Aston Oroszlán,London Ágyúk,1,4
Everton,West Ham,4,2
Fulham,Vörös Ördögök,0,6
Manchester Kék,Crystal Palace,5,1
Brentford,Wolverhampton,2,1
Chelsea,Fulham,1,0
Nottingham,Manchester Kék,1,0
Tottenham,Brentford,1,0
London Ágyúk,Everton,1,2
Crystal Palace,Aston Oroszlán,0,1
Vörös Ördögök,Newcastle,1,1
West Ham,Liverpool,1,2
Wolverhampton,Brighton,1,1
Aston Oroszlán,Nottingham,1,1
Brentford,West Ham,1,0
Manchester Kék,Vörös Ördögök,5,2
Fulham,Wolverhampton,1,0
Brighton,Tottenham,0,1
Liverpool,Everton,1,1
Crystal Palace,London Ágyúk,0,0
Newcastle,Chelsea,0,0
Aston Oroszlán,Vörös Ördögök,2,0
Fulham,Tottenham,1,2
Newcastle,Wolverhampton,1,3
Brighton,West Ham,1,0
Crystal Palace,Nottingham,1,1
London Ágyúk,Liverpool,0,5
Brentford,Everton,0,1
Manchester Kék,Chelsea,2,1
Everton,Brighton,2,1
Nottingham,London Ágyúk,0,1
Tottenham,Newcastle,0,0
Chelsea,Aston Oroszlán,1,0
Liverpool,Brentford,1,0
Vörös Ördögök,Crystal Palace,1,0
Wolverhampton,Manchester Kék,1,3
West Ham,Fulham,0,2
Manchester Kék,Tottenham,4,2
London Ágyúk,Brentford,1,1
Brighton,Liverpool,1,3
Nottingham,Vörös Ördögök,1,3
Fulham,Everton,0,2
Crystal Palace,Chelsea,0,1
Newcastle,West Ham,1,1
Aston Oroszlán,Wolverhampton,0,1
Tottenham,Aston Oroszlán,2,1
Chelsea,Nottingham,2,2
Wolverhampton,Crystal Palace,3,1
Brentford,Brighton,2,0
West Ham,Manchester Kék,2,1
Vörös Ördögök,London Ágyúk,5,2
Liverpool,Fulham,0,0
Everton,Newcastle,4,1
Fulham,Brentford,0,3
Newcastle,Liverpool,0,3
London Ágyúk,Brighton,0,1
Manchester Kék,Everton,0,2
Nottingham,Wolverhampton,0,1
Aston Oroszlán,West Ham,2,1
Vörös Ördögök,Chelsea,0,0
Crystal Palace,Tottenham,3,2
Wolverhampton,Vörös Ördögök,0,3
Brentford,Newcastle,2,1
Chelsea,London Ágyúk,1,1
Tottenham,Nottingham,1,0
Everton,Aston Oroszlán,2,0
Brighton,Fulham,0,1
West Ham,Crystal Palace,2,0
Liverpool,Manchester Kék,0,0
London Ágyúk,Fulham,4,1
Manchester Kék,Brentford,1,0
Vörös Ördögök,Tottenham,0,1
Chelsea,Wolverhampton,0,1
Aston Oroszlán,Liverpool,0,0
Newcastle,Brighton,0,1
Crystal Palace,Everton,2,1
Nottingham,West Ham,1,1
Wolverhampton,London Ágyúk,1,2
Everton,Nottingham,2,0
West Ham,Vörös Ördögök,2,3
Fulham,Newcastle,1,1
Brighton,Manchester Kék,1,1
Liverpool,Crystal Palace,1,0
Tottenham,Chelsea,0,0
Brentford,Aston Oroszlán,4,0
Aston Oroszlán,Brighton,1,2
Nottingham,Liverpool,0,4
Manchester Kék,Fulham,2,0
London Ágyúk,Newcastle,2,2
Wolverhampton,Tottenham,2,1
Crystal Palace,Brentford,0,0
Chelsea,West Ham,1,1
Vörös Ördögök,Everton,0,0
West Ham,Wolverhampton,2,2
Everton,Chelsea,2,1
Newcastle,Manchester Kék,1,3
Brighton,Crystal Palace,1,0
Brentford,Nottingham,1,1
Tottenham,London Ágyúk,1,2
Fulham,Aston Oroszlán,1,0
Liverpool,Vörös Ördögök,2,2
Chelsea,Liverpool,3,1
Vörös Ördögök,Brentford,0,1
Wolverhampton,Everton,2,0
London Ágyúk,Manchester Kék,0,0
Crystal Palace,Fulham,1,1
Aston Oroszlán,Newcastle,2,0
Tottenham,West Ham,1,1
Nottingham,Brighton,2,0
Everton,Tottenham,0,1
Manchester Kék,Aston Oroszlán,3,1
Newcastle,Crystal Palace,3,1
Brentford,Chelsea,0,4
Liverpool,Wolverhampton,2,1
Brighton,Vörös Ördögök,0,2
West Ham,London Ágyúk,1,2
Fulham,Nottingham,1,2
Tottenham,Liverpool,2,0
Nottingham,Newcastle,0,2
Chelsea,Brighton,1,2
London Ágyúk,Aston Oroszlán,2,0
West Ham,Everton,0,4
Vörös Ördögök,Fulham,1,1
Crystal Palace,Manchester Kék,1,1
Wolverhampton,Brentford,2,1
Fulham,Chelsea,1,1
Manchester Kék,Nottingham,0,1
Brentford,Tottenham,1,1
Everton,London Ágyúk,1,1
Aston Oroszlán,Crystal Palace,2,0
Newcastle,Vörös Ördögök,2,3
Liverpool,West Ham,1,2
Brighton,Wolverhampton,0,4
Nottingham,Aston Oroszlán,2,0
West Ham,Brentford,0,2
Vörös Ördögök,Manchester Kék,1,2
Wolverhampton,Fulham,2,4
Tottenham,Brighton,3,1
Everton,Liverpool,2,1
London Ágyúk,Crystal Palace,3,1
Chelsea,Newcastle,4,1
Liverpool,West Ham,1,0
Aston Oroszlán,Tottenham,1,3
Everton,Nottingham,3,1
Chelsea,Wolverhampton,4,2
London Ágyúk,Newcastle,1,1
Crystal Palace,Manchester Kék,1,4
Brentford,Vörös Ördögök,0,0
Fulham,Brighton,0,0
Wolverhampton,Brentford,2,1
Manchester Kék,London Ágyúk,2,2
Nottingham,Aston Oroszlán,1,1
West Ham,Fulham,3,1
Vörös Ördögök,Crystal Palace,3,0
Newcastle,Liverpool,1,3
Brighton,Everton,1,0
Tottenham,Chelsea,0,0
Aston Oroszlán,Brighton,2,0
Vörös Ördögök,Manchester Kék,1,0
Crystal Palace,Wolverhampton,0,1
Liverpool,London Ágyúk,0,1
Brentford,Tottenham,2,1
Fulham,Newcastle,2,1
Chelsea,Nottingham,4,1
Everton,West Ham,1,2
West Ham,Aston Oroszlán,1,2
London Ágyúk,Fulham,1,2
Newcastle,Everton,1,1
Wolverhampton,Vörös Ördögök,4,0
Brighton,Chelsea,1,0
Manchester Kék,Liverpool,4,2
Tottenham,Crystal Palace,3,0
Nottingham,Brentford,0,0
Vörös Ördögök,Tottenham,2,1
Crystal Palace,Nottingham,0,2
Wolverhampton,Manchester Kék,1,3
Brentford,Brighton,1,0
Everton,London Ágyúk,1,1
Chelsea,West Ham,2,0
Fulham,Liverpool,1,1
Aston Oroszlán,Newcastle,3,2
Liverpool,Everton,1,0
Nottingham,Vörös Ördögök,2,0
Manchester Kék,Fulham,2,2
London Ágyúk,Aston Oroszlán,2,0
West Ham,Brentford,1,1
Tottenham,Wolverhampton,0,0
Newcastle,Chelsea,1,1
Brighton,Crystal Palace,3,2
Tottenham,Manchester Kék,0,2
Vörös Ördögök,Brighton,2,1
Aston Oroszlán,Liverpool,1,2
Everton,Fulham,1,0
Crystal Palace,West Ham,2,1
Wolverhampton,Nottingham,2,0
Brentford,Newcastle,4,2
Chelsea,London Ágyúk,1,2
Manchester Kék,Everton,1,1
London Ágyúk,Brentford,1,0
Liverpool,Chelsea,1,1
Nottingham,Tottenham,2,1
Brighton,Wolverhampton,1,2
Newcastle,Crystal Palace,3,1
Fulham,Aston Oroszlán,4,1
West Ham,Vörös Ördögök,2,2
Wolverhampton,West Ham,4,0
Crystal Palace,London Ágyúk,2,2
Tottenham,Brighton,4,1
Nottingham,Manchester Kék,3,3
Aston Oroszlán,Everton,0,0
Vörös Ördögök,Newcastle,2,1
Chelsea,Fulham,0,0
Brentford,Liverpool,1,2
Everton,Chelsea,0,3
Fulham,Brentford,0,1
Brighton,Nottingham,5,0
Newcastle,Wolverhampton,2,1
London Ágyúk,Vörös Ördögök,2,2
Manchester Kék,Aston Oroszlán,3,1
West Ham,Tottenham,1,0
Liverpool,Crystal Palace,1,0
Crystal Palace,Fulham,1,3
Vörös Ördögök,Liverpool,0,2
Brentford,Everton,1,1
Brighton,Manchester Kék,0,1
Tottenham,Newcastle,2,0
Nottingham,West Ham,3,2
Chelsea,Aston Oroszlán,2,1
Wolverhampton,London Ágyúk,0,3
Aston Oroszlán,Brentford,0,2
West Ham,Brighton,2,0
Newcastle,Nottingham,2,0
Fulham,Vörös Ördögök,0,3
Everton,Crystal Palace,2,0
Liverpool,Wolverhampton,2,0
Manchester Kék,Chelsea,0,0
London Ágyúk,Tottenham,3,1
Crystal Palace,Aston Oroszlán,3,4
Nottingham,London Ágyúk,0,1
